id,agent,type,type_string,fixed_component,per_tenant_component,multi_tenant_rate,discount_after,mandatory,includes_vat,notes,url_source,unknown
613,1161,30,Tenancy Renewal,125.0,0.0,0.0,0,0,,,,0
714,633,92,Admin Fee,0.0,150.0,100.0,2,1,1,,,0
743,637,92,Admin Fee,180.0,0.0,0.0,0,1,1,,,0
893,320,70,Check Out,120.0,0.0,0.0,0,0,1,,,0
1159,435,70,Check Out,108.0,0.0,0.0,0,0,1,108-180 (depending how many bedrooms and if furnished),,0
586,1170,81,No Fees,0.0,0.0,0.0,0,1,,,,0
584,1143,80,Non registration of Utility Services,130.0,0.0,0.0,0,0,1,,,0
583,1143,79,Eviction Fees,600.0,0.0,0.0,0,0,1,Court fees may apply.,,0
364,117,39,Check In,150.0,0.0,0.0,0,0,1,,,0
599,649,12,Ongoing Reference,30.0,0.0,0.0,0,0,1,,,0
1202,893,70,Check Out,102.0,0.0,0.0,0,0,1,102-234 - Depending on size of property.,,0
715,633,70,Check Out,105.0,0.0,0.0,0,0,1,From 105 to 175 depending on size of property.,,0
632,663,6,Inventory Report,60.0,0.0,0.0,0,1,1,"£210 is the maximum charge for this, £60 is the minimum",,0
664,357,7,Guarantor Referencing,70.0,0.0,0.0,0,0,1,,,0
669,415,7,Guarantor Referencing,0.0,96.0,0.0,0,0,1,,,0
639,641,11,Tenancy Amendment,120.0,0.0,0.0,0,0,1,,,0
643,641,178,Unpaid Rent,0.0,0.0,0.0,0,0,1,Interest at 8% above Bank of England Base Rate from date due,,0
502,634,6,Inventory Report,195.0,0.0,0.0,0,1,1,The charge may be £100 - £195 depending on the property size,,0
676,648,92,Admin Fee,0.0,330.0,78.0,1,1,1,,,0
655,638,7,Guarantor Check,60.0,0.0,0.0,0,0,1,Per Guarantor,,0
2848,3099,253,Agency Fee (students/those with guarantors),120.0,0.0,0.0,0,0,,,,0
2847,3099,297,Agency Administration Fee,0.0,0.0,0.0,0,0,,No fees for non-students. Holding deposit of 50% of full deposit required to reserve property,,0
656,638,60,Change of Occupancy,180.0,60.0,0.0,0,0,1,,,0
806,306,2,Reference Check,0.0,60.0,0.0,0,1,0,,,0
